,Open,High,Low,Close,Adj Close,Volume
2021-05-10,250.87,251.73,247.12,247.18,247.18,29273400
2021-05-07,252.15,254.3,251.17,252.46,252.46,27010100
2021-05-06,246.45,249.86,244.69,249.73,249.73,26491100
2021-05-05,249.06,249.5,245.82,246.47,246.47,21901300
2021-05-04,250.97,251.21,245.76,247.79,247.79,32756100
2021-05-03,253.4,254.35,254.35,251.86,251.86,19626600
